,inspection_id,violation_code,inspection_average_prev_penalty_scores,inspection_prev_penalty_score,zip_code,review_count,non_positive_review_count,average_review_rating,inspection_year,inspection_month,avg_review_length,Gastropubs,American (Traditional),Afghan,Modern European,Shanghainese,Ethiopian,Fish & Chips,Mediterranean,Latin American,Hawaiian,Kosher,Delis,Greek,Seafood,Food Court,Steakhouses,Sushi Bars,Indian,Persian/Iranian,Creperies,Southern,Himalayan/Nepalese,Tapas/Small Plates,Soup,Tapas Bars,Live/Raw Food,British,Gluten-Free,American (New),Belgian,Cuban,Cantonese,Cajun/Creole,Middle Eastern,Taiwanese,Diners,Salad,Dim Sum,Russian,Filipino,Hot Dogs,French,Restaurants,Spanish,Vietnamese,Polish,Lebanese,Australian,Senegalese,Basque,Korean,Pakistani,Sandwiches,Egyptian,Japanese,Italian,Fondue,Cafes,Halal,Buffets,African,Breakfast & Brunch,Cheesesteaks,Food Stands,Indonesian,Turkish,Barbeque,Mexican,Pizza,Fast Food,Tex-Mex,Thai,German,Burgers,Asian Fusion,Moroccan,Irish,Vegetarian,Comfort Food,Salvadoran,Chinese,Scandinavian,Vegan,Cambodian,Chicken Wings,Soul Food,Caribbean,Scottish
10,DA1460809,1,0,0,98126,1,0,4,2006,1,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,DA1461354,0,0,0,98116,2,0,4,2006,1,324.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,DA1462396,1,0,0,98119,1,0,5,2006,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DA1462399,1,0,0,98119,1,0,4,2006,1,543,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,DA1463722,1,0,0,98102,4,2,3,2006,1,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,DA1466689,0,0,0,98103,3,1,4,2006,1,432.6666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DA1466991,0,0,0,98116,2,0,5,2006,1,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,DA1467605,0,0,0,98107,3,0,4,2006,1,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,DA1469477,0,0,0,98112,5,4,3,2006,2,395.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DA1469687,0,0,0,98133,1,1,2,2006,1,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
